 11,314929101 
 11,3257747906041 
 11,3584240658708 
 11,4132164578987 
 11,4907276995578 
 11,5917850048968 
 11,7174895176804 
 11,8692470885608 
 12,048809031403 
 12,2583251465487 
 12,5004121499919 
 12,7782418104579 
 13,0956547165298 
 13,4573078930019 
 13,8688677987296 
 14,3372651005865 
 14,8710348861554 
 15,4807770570825 
 16,179788899279 
 16,984949336961 
 17,9179794027085 
 19,0072793320251 
 20,290674845748 
 21,819644167274 
 23,6660485577236 
 25,9332850345122 
 28,7756671640391 
 32,4341081208559 
 37,3067117737656 
 44,1018735628021 
 54,2136253915463 
 70,8157270078071 
 103,032890639997 
 192,194961694176 
 1619,52924686027 
-247,094046889027 
-113,812428151458 
-73,5483554743458 
-54,1321428890679 
-42,7116945004132 
-35,1977379880531 
-29,8831260745841 
-25,9287725879005 
-22,8741431652284 
-20,4454206087497 
-18,4695912764793 
-16,831970993566 
-15,4535375799238 
-14,2780714582214 
-13,2644861847171 
-12,3820592284732 
-11,6073593363024 
-10,9222057744481 
-10,3122765935478 
-9,76613723276678 
-9,27454845350419 
-8,82996418209626 
-8,42616112514789 
-8,0579615082959 
-7,72102272330451 
-7,41167577623126 
-7,12679982118742 
-6,86372371463046 
-6,62014803743916 
-6,39408278724551 
-6,18379718695484 
-5,98777894767018 
-5,80470097232979 
-5,63339396779394 
-5,47282372190692 
-5,32207233539173 
-5,18032228161612 
-5,04684318953616 
-4,92098057800751 
-4,80214630710017 
-4,68981043229661 
-4,58349422758463 
-4,48276418651569 
-4,38722684511719 
-4,29652429831936 
-4,21033030402236 
-4,12834688694628 
-4,05030136911941 
-3,97594376584167 
-3,90504449576064 
-3,83739236180385 
-3,77279276634827 
-3,71106612959122 
-3,65204648468059 
-3,59558022700557 
-3,54152499832344 
-3,48974868907973 
-3,44012854461307 
-3,39255036285213 
-3,34690777280799 
-3,30310158452568 
-3,26103920240603 
-3,220634094824 
-3,18180531383231 
-3,14447705953833 
-3,10857828426738 
-3,07404233172743 
-3,04080659446607 
-3,00881234662601 
-2,97800410806479 
